weight_v3,mae,rmse,spearman,pairwise_acc,group_spearman,group_pairwise_acc,group_top1_hit,group_regret
0.0,0.12448063376669924,0.18742879962080514,0.5455310340391744,0.7652267334254838,0.27064800559319463,0.5252487746736035,0.19934640522875818,0.08179717398476882
0.05,0.12445285096228266,0.1874494116244901,0.5455490777287493,0.7652270681120664,0.2691708921303737,0.5243963345069252,0.19934640522875818,0.08179717398476882
0.1,0.12443703167812437,0.18748469268919885,0.545483532578452,0.7651976156927844,0.2680717101953449,0.5236322710513523,0.19607843137254902,0.08288649860350521
0.15000000000000002,0.12443171305394397,0.18753463453581937,0.5454822990518892,0.7652190356340804,0.2676201727742677,0.5233825190770895,0.19607843137254902,0.08288649860350521
0.2,0.12443857735597172,0.187599225455564,0.5454447880246509,0.765208995036598,0.26876378108153853,0.5240040176765294,0.1895424836601307,0.08288649860350521
0.25,0.12445704159047805,0.18767845032367445,0.5452772786381712,0.7651564492431063,0.2688076211544062,0.5241981567335466,0.1895424836601307,0.08148593837941558
0.30000000000000004,0.12449037247649075,0.187772290617089,0.5451133901111112,0.7650864997473116,0.26861122730511744,0.5236916252576103,0.19607843137254902,0.08148593837941558
0.35000000000000003,0.12453406659749314,0.18788072443602438,0.5449326778409301,0.7650292683416614,0.26854829676506364,0.5237812907318184,0.19934640522875818,0.07967039734818829
0.4,0.1245949161654685,0.18800372652941302,0.5446775236887053,0.7649392376509018,0.2688105746641966,0.5239062808149977,0.20261437908496732,0.07788786615389238
0.45,0.12466518140172314,0.18814126832412795,0.5443607663900311,0.7648050283312192,0.26919792945191107,0.5241832205094872,0.20261437908496732,0.07788786615389238
0.5,0.12474684947270885,0.18829331795791612,0.5439749011743282,0.7646380197264272,0.2696548010310451,0.5243521115953333,0.20261437908496732,0.07788786615389238
0.55,0.12483501960244144,0.18845984031595295,0.5435712198616172,0.7644740233008799,0.2695613723890696,0.5245668654839737,0.20261437908496732,0.07788786615389238
0.6000000000000001,0.12493221320763737,0.18864079707092066,0.5431588714215939,0.7642815785157989,0.26945225164668296,0.5244688392465968,0.19934640522875818,0.0776364835495686
0.65,0.12504042773422097,0.18883614672650534,0.5426856941528151,0.7640794278198181,0.26844908332637196,0.5235565408847885,0.19934640522875818,0.08090445740577774
0.7000000000000001,0.12515812294472103,0.1890458446641989,0.5421913555535234,0.7638762730640891,0.26821487241506203,0.5235237506454598,0.19607843137254902,0.0818381642218375
0.75,0.1252955946066583,0.1892698431932853,0.5416579540223208,0.7636229153209477,0.26743484631341946,0.5229765344330484,0.19281045751633988,0.0818381642218375
0.8,0.12545841899995522,0.18950809160388213,0.5410071396235876,0.7633457948304311,0.2649692868368155,0.521416462327219,0.1830065359477124,0.08575973284928848
0.8500000000000001,0.12563212810989918,0.18976053622290423,0.5403207642006681,0.763017132606171,0.2643602506875076,0.5209011780121245,0.1830065359477124,0.08575973284928848
0.9,0.12582205580110314,0.19002712047280812,0.5395820804614251,0.7626847888295006,0.25834526527529905,0.518187096736913,0.17973856209150327,0.08630439515865666
0.9500000000000001,0.12603086124937282,0.19030778493297193,0.5386869775065279,0.7622851730496976,0.25783932768454365,0.5178898837553993,0.17647058823529413,0.08630439515865666
1.0,0.12625685164816178,0.19060246740356135,0.5377181408471202,0.7618259830581652,0.25718570556070613,0.517193347464963,0.17647058823529413,0.08630439515865666
